区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
千代田,一橋,普通科１部,１学年相当,36,20,35,55,1.53
千代田,一橋,普通科１部,２学年相当以上,6,1,0,1,0.17
千代田,一橋,普通科２部,１学年相当,36,31,31,62,1.72
千代田,一橋,普通科２部,２学年相当以上,6,1,0,1,0.17
千代田,一橋,普通科３部,１学年相当,24,11,8,19,0.79
千代田,一橋,普通科３部,２学年相当以上,3,0,0,0,0.00
千代田,一橋,計,１学年相当計,96,62,74,136,1.42
千代田,一橋,計,２学年相当以上計,15,2,0,2,0.13
千代田,一橋,計,計,111,64,74,138,1.24
新宿,新宿山吹,普通科１～４部,１学年相当,100,98,82,180,1.80
新宿,新宿山吹,普通科１～４部,２学年相当以上,50,4,5,9,0.18
新宿,新宿山吹,普通科１～４部,計,150,102,87,189,1.26
新宿,新宿山吹,情報科２・４部,１学年相当,46,45,18,63,1.37
新宿,新宿山吹,計,１学年相当計,146,143,100,243,1.66
新宿,新宿山吹,計,２学年相当以上計,50,4,5,9,0.18
新宿,新宿山吹,計,計,196,147,105,252,1.29
台東,浅草,普通科１部,１学年相当,36,38,50,88,2.44
台東,浅草,普通科１部,２学年相当以上,5,0,0,0,0.00
台東,浅草,普通科２部,１学年相当,36,28,33,61,1.69
台東,浅草,普通科２部,２学年相当以上,5,0,0,0,0.00
台東,浅草,普通科３部,１学年相当,24,9,20,29,1.21
台東,浅草,普通科３部,２学年相当以上,5,0,2,2,0.40
台東,浅草,計,１学年相当計,96,75,103,178,1.85
台東,浅草,計,２学年相当以上計,15,0,2,2,0.13
台東,浅草,計,計,111,75,105,180,1.62
杉並,荻窪,普通科１部,１学年相当,36,18,36,54,1.50
杉並,荻窪,普通科１部,２学年相当以上,6,0,0,0,0.00
杉並,荻窪,普通科２部,１学年相当,36,35,44,79,2.19
杉並,荻窪,普通科２部,２学年相当以上,6,0,0,0,0.00
杉並,荻窪,普通科３部,１学年相当,24,9,5,14,0.58
杉並,荻窪,普通科３部,２学年相当以上,3,0,1,1,0.33
杉並,荻窪,計,１学年相当計,96,62,85,147,1.53
杉並,荻窪,計,２学年相当以上計,15,0,1,1,0.07
杉並,荻窪,計,計,111,62,86,148,1.33
八王子,八王子拓真,普通科１部,１学年相当,36,60,51,111,3.08
八王子,八王子拓真,普通科１部,２学年相当以上,6,1,1,2,0.33
八王子,八王子拓真,普通科２部,１学年相当,36,46,46,92,2.56
八王子,八王子拓真,普通科２部,２学年相当以上,6,0,0,0,0.00
八王子,八王子拓真,普通科３部,１学年相当,24,21,14,35,1.46
八王子,八王子拓真,普通科３部,２学年相当以上,3,0,0,0,0.00
八王子,八王子拓真,計,１学年相当計,96,127,111,238,2.48
八王子,八王子拓真,計,２学年相当以上計,15,1,1,2,0.13
八王子,八王子拓真,計,計,111,128,112,240,2.16
立川,砂川,普通科１～３部,１学年相当,120,69,104,173,1.44
立川,砂川,普通科１～３部,２学年相当以上,15,0,0,0,0.00
立川,砂川,普通科１～３部,計,135,69,104,173,1.28
定時制課程単位制計,,,１学年相当計,650,538,577,1115,1.72
定時制課程単位制計,,,２学年相当以上計,125,7,9,16,0.13
定時制課程単位制計,,,計,775,545,586,1131,1.46
