,平成15年度,平成16年度,平成17年度,平成18年度
対在職者比率（都）（%）,0.45,0.48,0.58,0.66
対在職者比率（全国）（%）,0.35,0.39,0.45,0.51
対在職者比率（都管理職）（%）,0.21,0.23,0.32,0.41
