,合計,小１,小２,小３,小４,小５,小６,中１,中２,中３,高１,高２,高３,高４
読みたい本がなかったから（％）,36.7,28.9,29.3,35.2,49.4,44.8,41.1,40.9,44.6,43.0,35.6,36.0,30.4,44.3
本を読む時間がなかったから（％）,39.6,27.6,20.2,31.1,32.3,31.1,31.8,34.6,34.4,40.8,43.4,39.8,51.0,31.4
本を読むことに興味がないから（％）,34.9,18.4,33.3,19.7,28.7,44.8,46.4,41.5,46.5,45.5,34.3,34.1,25.1,35.7
文章を読むこと、字を見ることがきらいだから。 めんどうだから（％）,14.5,21.1,21.2,17.2,18.9,31.5,28.3,24.9,27.0,24.3,13.6,12.6,12.4,20.0
どれもあてはまらない（％）,7.6,14.5,14.1,16.4,12.2,9.1,7.9,6.0,6.0,5.5,7.0,7.6,6.5,15.7
無回答（％）,4.6,10.5,7.1,9.0,1.2,0.8,1.5,3.9,1.7,2.9,4.8,5.0,4.2,1.4
注）複数回答可,,,,,,,,,,,,,,
