項目,件数
1個々の子供に応じたきめ細かい教育の充実,7
2世界で活躍できる人材の育成,5
3社会的自立を促す教育の推進,16
4子供たちの健全な心を育む取組,0
5体を鍛え健康に生活する力を培う,1
6オリンピック・パラリンピック教育の推進,6
7教員の資質・能力を高める,4
8質の高い教育環境を整える,1
9家庭の教育力向上を図る,0
10地域・社会の教育力向上を図る,1
その他,1
合計,42
