エリア区市町村,センター校,No.,備考,,,,,,,
千代田区,江東特別支援学校,1,,,,,,,,
中央区,江東特別支援学校,1,,,,,,,,
江東区,江東特別支援学校,1,,,,,,,,
港区,港特別支援学校,2,,,,,,,,
目黒区,港特別支援学校,2,,,,,,,,
渋谷区,港特別支援学校,2,,,,,,,,
品川区,品川特別支援学校,3,,,,,,,,
新宿区,中野特別支援学校,4,,,,,,,,
中野区,中野特別支援学校,4,,,,,,,,
文京区,王子第二特別支援学校,5,,,,,,,,
北区,王子第二特別支援学校,5,,,,,,,,
世田谷区,久我山青光学園,6,,,,,,,,
杉並区,済美養護学校（区立）,7,,,,,,,,
豊島区,高島特別支援学校,8,,,,,,,,
板橋区,高島特別支援学校,8,,,,,,,,
台東区,墨田特別支援学校,9,,,,,,,,
墨田区,墨田特別支援学校,9,,,,,,,,
荒川区,墨田特別支援学校,9,,,,,,,,
大田区,矢口特別支援学校,10,,,,,,,,
練馬区,石神井特別支援学校,11,,,,,,,,
足立区,南花畑特別支援学校,12,,,,,,,,
葛飾区,水元特別支援学校,13,,,,,,,,
江戸川区,小岩特別支援学校・白鷺特別支援学校,14,,,,,,,,
東村山市,清瀬特別支援学校,15,,,,,,,,
清瀬市,清瀬特別支援学校,15,,,,,,,,
東久留米市,清瀬特別支援学校,15,,,,,,,,
武蔵野市,小金井特別支援学校,16,,,,,,,,
小金井市,小金井特別支援学校,16,,,,,,,,
小平市,小金井特別支援学校,16,,,,,,,,
西東京市,小金井特別支援学校,16,,,,,,,,
三鷹市,調布特別支援学校,17,,,,,,,,
府中市,調布特別支援学校,17,,,,,,,,
調布市,調布特別支援学校,17,,,,,,,,
狛江市,調布特別支援学校,17,,,,,,,,
立川市,武蔵台特別支援学校,18,,,,,,,,
国分寺市,武蔵台特別支援学校,18,,,,,,,,
国立市,武蔵台特別支援学校,18,,,,,,,,
青梅市,羽村特別支援学校,19,,,,,,,,
福生市,羽村特別支援学校,19,,,,,,,,
東大和市,羽村特別支援学校,19,,,,,,,,
武蔵村山市,羽村特別支援学校,19,,,,,,,,
羽村市,羽村特別支援学校,19,,,,,,,,
瑞穂町,羽村特別支援学校,19,,,,,,,,
奥多摩町,羽村特別支援学校,19,,,,,,,,
昭島市,あきる野学園,20,,,,,,,,
あきる野市,あきる野学園,20,,,,,,,,
日の出町,あきる野学園,20,,,,,,,,
檜原村,あきる野学園,20,,,,,,,,
日野市,七生特別支援学校,21,,,,,,,,
八王子市,八王子特別支援学校,22,,,,,,,,
多摩市,多摩桜の丘学園,23,,,,,,,,
稲城市,多摩桜の丘学園,23,,,,,,,,
町田市,町田の丘学園,24,,,,,,,,
島しょ地区,都教育委員会直轄,25,,,,,,,,
,,,※この表は、通学区域を示すものではありません。※今後、都立特別支援学校の新設等によって、支援エリアの区分が変更する場合があります。※No.3の品川特別支援学校は、平成２３年度開校を予定しています。-115-,,,,,,,
