,読み終わった本が１冊以上ある（％）,読み終わった本はないが、読みかけている本がある（％）,全く読んでいない（％）,無回答（％）
全体,56.5,20.8,21.4,1.3
小１,92.1,4.6,2.3,1.1
小２,87.9,8.0,3.3,0.8
小３,84.4,11.3,3.8,0.5
小４,83.9,11.8,3.4,0.9
小５,77.8,15.9,5.0,1.3
小６,72.7,19.6,6.6,1.2
中１,63.7,27.9,7.3,1.1
中２,56.9,31.1,11.1,0.9
中３,50.0,32.5,16.2,1.3
高１,39.9,25.1,34.1,1.0
高２,38.0,23.5,36.8,1.7
高３,34.2,23.2,40.2,2.5
高４,34.1,22.2,42.0,1.7
