,,管理職,一般教員
都における一人当たり年休取得日数（日）,小学校,8.1,14.3
都における一人当たり年休取得日数（日）,中学校,6.3,11.5
年間の取得日数が５日以下にとどまる職員の割合（%）,小学校,39.2,6.7
年間の取得日数が５日以下にとどまる職員の割合（%）,中学校,54.1,20.9
注）平成27年度東京都教育庁調べ,,,
