区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
港,芝商業,商業,161,58,93,151,0.94
江東,江東商業,総合ﾋﾞｼﾞﾈｽ,123,46,81,127,1.03
江東,第三商業,商業,168,54,160,214,1.27
渋谷,第一商業,商業,168,74,83,157,0.93
北,赤羽商業,商業,168,71,116,187,1.11
練馬,第四商業,商業,112,53,84,137,1.22
練馬,第四商業,情報処理,49,46,18,64,1.31
練馬,第四商業,計,161,99,102,201,1.25
足立,荒川商業,総合ﾋﾞｼﾞﾈｽ,147,59,120,179,1.22
葛飾,葛飾商業,商業,112,54,74,128,1.14
葛飾,葛飾商業,情報処理,49,41,19,60,1.22
葛飾,葛飾商業,計,161,95,93,188,1.17
国立,第五商業,商業,168,88,162,250,1.49
あきる野,五日市,商業,56,21,40,61,1.09
商業計,,,1481,665,1050,1715,1.16
