新聞名,開架期間,原紙保存期間,備考
公明新聞,4ヵ月,4年,
公明新聞日曜版,1年,4年,
社会新報,1年,4年,
自由民主,1年,4年,
しんぶん赤旗,3ヵ月,CD-ROM版が入るまで,CD-ROM版あり
しんぶん赤旗日曜版,3ヵ月,CD-ROM版が入るまで,CD-ROM版あり
