区市町村名,学校名,科名,募集人員（男女問わず）,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
文京,工芸,ﾏｼﾝｸﾗﾌﾄ,25,18,11,29,14,12,26
文京,工芸,ｱｰﾄｸﾗﾌﾄ,25,3,31,34,4,23,27
文京,工芸,ｲﾝﾃﾘｱ,25,13,22,35,8,18,26
文京,工芸,ﾃﾞｻﾞｲﾝ,25,10,30,40,6,20,26
文京,工芸,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,7,25,32,5,21,26
文京,工芸,計,125,51,119,170,37,94,131
台東,蔵前工業,機械,46,42,0,42,45,1,46
台東,蔵前工業,電気,25,33,0,33,25,0,25
台東,蔵前工業,建築,22,21,5,26,18,4,22
台東,蔵前工業,設備工業,25,26,0,26,25,0,25
台東,蔵前工業,計,118,122,5,127,113,5,118
江東,墨田工業,機械,25,30,1,31,25,1,26
江東,墨田工業,自動車,25,34,3,37,24,2,26
江東,墨田工業,電気,49,52,1,53,50,1,51
江東,墨田工業,建築,25,36,1,37,26,0,26
江東,墨田工業,計,124,152,6,158,125,4,129
世田谷,総合工科,機械・自動車,49,56,0,56,49,0,49
世田谷,総合工科,電気・情報ﾃﾞｻﾞｲﾝ,49,42,5,47,45,5,50
世田谷,総合工科,建築・都市工学,49,45,7,52,42,7,49
世田谷,総合工科,計,147,143,12,155,136,12,148
中野,中野工業,総合技術,123,95,31,126,94,30,124
杉並,杉並工業,機械,49,57,0,57,50,0,50
杉並,杉並工業,電子,49,53,1,54,49,1,50
杉並,杉並工業,理工環境,25,15,3,18,23,3,26
杉並,杉並工業,計,123,125,4,129,122,4,126
荒川,荒川工業,電気,49,64,0,64,50,0,50
荒川,荒川工業,電子,25,26,2,28,24,2,26
荒川,荒川工業,情報技術,49,49,1,50,51,0,51
荒川,荒川工業,計,123,139,3,142,125,2,127
板橋,北豊島工業,総合技術,123,100,12,112,100,12,112
練馬,練馬工業,ｷｬﾘｱ技術,71,96,16,112,59,12,71
足立,足立工業,総合技術,123,118,3,121,118,3,121
江戸川,葛西工業,機械,49,62,1,63,47,3,50
江戸川,葛西工業,電子,25,43,3,46,24,2,26
江戸川,葛西工業,建築,49,65,15,80,43,7,50
江戸川,葛西工業,計,123,170,19,189,114,12,126
府中,府中工業,機械,25,36,1,37,24,1,25
府中,府中工業,電気,49,64,0,64,49,0,49
府中,府中工業,情報技術,25,49,1,50,25,1,26
府中,府中工業,工業技術,25,29,2,31,23,2,25
府中,府中工業,計,124,178,4,182,121,4,125
町田,町田工業,総合情報,123,128,22,150,107,18,125
福生,多摩工業,機械,49,73,2,75,49,1,50
福生,多摩工業,電気,49,57,1,58,50,0,50
福生,多摩工業,環境化学,25,29,4,33,24,2,26
福生,多摩工業,計,123,159,7,166,123,3,126
西東京,田無工業,機械,49,50,0,50,48,1,49
西東京,田無工業,建築,49,58,8,66,42,7,49
西東京,田無工業,都市工学,25,29,0,29,25,0,25
西東京,田無工業,計,123,137,8,145,115,8,123
工業計,,,1816,1913,271,2184,1609,223,1832
