区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
千代田,一橋,普通科１部,１学年相当,36,19,36,55,1.53
千代田,一橋,普通科１部,２学年相当以上,6,1,0,1,0.17
千代田,一橋,普通科２部,１学年相当,36,32,33,65,1.81
千代田,一橋,普通科２部,２学年相当以上,6,2,0,2,0.33
千代田,一橋,普通科３部,１学年相当,24,11,10,21,0.88
千代田,一橋,普通科３部,２学年相当以上,3,0,0,0,0.00
千代田,一橋,計,１学年相当計,96,62,79,141,1.47
千代田,一橋,計,２学年相当以上計,15,3,0,3,0.20
千代田,一橋,計,計,111,65,79,144,1.30
新宿,新宿山吹,普通科１～４部,１学年相当,100,104,90,194,1.94
新宿,新宿山吹,普通科１～４部,２学年相当以上,50,4,5,9,0.18
新宿,新宿山吹,普通科１～４部,計,150,108,95,203,1.35
新宿,新宿山吹,情報科２・４部,１学年相当,46,51,18,69,1.50
新宿,新宿山吹,計,１学年相当計,146,155,108,263,1.80
新宿,新宿山吹,計,２学年相当以上計,50,4,5,9,0.18
新宿,新宿山吹,計,計,196,159,113,272,1.39
台東,浅草,普通科１部,１学年相当,36,37,51,88,2.44
台東,浅草,普通科１部,２学年相当以上,5,0,0,0,0.00
台東,浅草,普通科２部,１学年相当,36,25,34,59,1.64
台東,浅草,普通科２部,２学年相当以上,5,0,0,0,0.00
台東,浅草,普通科３部,１学年相当,24,13,21,34,1.42
台東,浅草,普通科３部,２学年相当以上,5,0,2,2,0.40
台東,浅草,計,１学年相当計,96,75,106,181,1.89
台東,浅草,計,２学年相当以上計,15,0,2,2,0.13
台東,浅草,計,計,111,75,108,183,1.65
杉並,荻窪,普通科１部,１学年相当,36,21,35,56,1.56
杉並,荻窪,普通科１部,２学年相当以上,6,0,0,0,0.00
杉並,荻窪,普通科２部,１学年相当,36,38,45,83,2.31
杉並,荻窪,普通科２部,２学年相当以上,6,0,0,0,0.00
杉並,荻窪,普通科３部,１学年相当,24,11,6,17,0.71
杉並,荻窪,普通科３部,２学年相当以上,3,0,1,1,0.33
杉並,荻窪,計,１学年相当計,96,70,86,156,1.63
杉並,荻窪,計,２学年相当以上計,15,0,1,1,0.07
杉並,荻窪,計,計,111,70,87,157,1.41
八王子,八王子拓真,普通科１部,１学年相当,36,60,52,112,3.11
八王子,八王子拓真,普通科１部,２学年相当以上,6,1,1,2,0.33
八王子,八王子拓真,普通科２部,１学年相当,36,44,46,90,2.50
八王子,八王子拓真,普通科２部,２学年相当以上,6,0,0,0,0.00
八王子,八王子拓真,普通科３部,１学年相当,24,27,14,41,1.71
八王子,八王子拓真,普通科３部,２学年相当以上,3,0,0,0,0.00
八王子,八王子拓真,計,１学年相当計,96,131,112,243,2.53
八王子,八王子拓真,計,２学年相当以上計,15,1,1,2,0.13
八王子,八王子拓真,計,計,111,132,113,245,2.21
立川,砂川,普通科１～３部,１学年相当,120,69,100,169,1.41
立川,砂川,普通科１～３部,２学年相当以上,15,0,1,1,0.07
立川,砂川,普通科１～３部,計,135,69,101,170,1.26
定時制課程単位制計,,,１学年相当計,650,562,591,1153,1.77
定時制課程単位制計,,,２学年相当以上計,125,8,10,18,0.14
定時制課程単位制計,,,計,775,570,601,1171,1.51
