区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,電話番号,備考
青梅市,図書館,青梅市今井図書館,青梅市今井2-908-1,35.806259,139.310562,JGD2011,0428-31-8600,
青梅市,図書館,青梅市小曾木図書館,青梅市小曾木3-1656-1,35.818214,139.275055,JGD2011,0428-74-5332,
青梅市,図書館,青梅市新町図書館,青梅市新町4-17-1,35.786114,139.304581,JGD2011,0428-31-7337,
青梅市,図書館,青梅市成木図書館,青梅市成木4-644,35.826523,139.252304,JGD2011,0428-74-5204,
青梅市,図書館,青梅市青梅図書館,青梅市仲町268-9,35.791065,139.256424,JGD2011,0428-20-7150,
青梅市,図書館,青梅市大門図書館,青梅市大門2-288,35.796558,139.290726,JGD2011,0428-31-2251,
青梅市,図書館,青梅市沢井図書館,青梅市沢井2-682,35.804710,139.195984,JGD2011,0428-78-8304,
青梅市,図書館,青梅市中央図書館,青梅市河辺町10-8-1,35.785671,139.285294,JGD2011,0428-22-4885,
青梅市,図書館,青梅市長淵図書館,青梅市長淵6-492-1,35.780090,139.268845,JGD2011,0428-22-3249,
青梅市,図書館,青梅市梅郷図書館,青梅市梅郷3-749-1,35.787582,139.224747,JGD2011,0428-76-0404,
青梅市,博物館,青梅市郷土博物館,青梅市駒木町1-684,35.783783,139.257339,JGD2011,0428-23-6859,登録
青梅市,博物館,青梅市立美術館,青梅市滝ﾉ上町1346-1,35.787079,139.255905,JGD2011,0428-24-1195,登録
青梅市,その他の施設,青梅市永山ふれあいセンター,青梅市勝沼2-160-2,35.792793,139.264694,JGD2011,0428-23-7373,
青梅市,その他の施設,青梅市釜の淵市民館,青梅市大柳1392,35.785770,139.250397,JGD2011,0428-22-3532,
青梅市,その他の施設,青梅市御岳山ふれあいセンター,青梅市御岳山38-2,35.787659,139.148758,JGD2011,0428-78-9717,
