,男子（名）,女子（名）,不明（名）,計（名）
中1,1,10,,11
中2,4,3,,7
中3,5,6,,11
高1,6,10,,16
高2,4,8,1,13
高3,6,9,,15
高4,1,,,1
計,27,46,1,74
