,はい（％）,いいえ（％）,無回答（％）
全体,62.9,34.7,2.4
小１,95.9,2.1,2.0
小２,95.8,2.8,1.5
小３,92.4,5.9,1.7
小４,92.1,6.1,1.7
小５,89.4,9.1,1.5
小６,85.5,12.9,1.5
中１,74.1,24.5,1.4
中２,61.0,37.3,1.7
中３,53.6,44.2,2.2
高１,45.5,52.1,2.4
高２,42.1,54.8,3.1
高３,57.1,39.7,3.3
高４,51.7,46.6,1.7
