区分,学校経営(%),学外関係者対応(%),調査・報告(%),児童・生徒の指導、管理(%),研修(%),その他(%)
平日昨年度,63.4,22.2,2.6,11.2,0.0,0.5
平日今年度,34.9,19.3,0.0,34.0,0.0,11.8
