学科,,第２学年,区分１,区分２,第３学年,区分１,区分２,計,備考
普通科,募集人員,676,132,544,1214,121,1093,1890,"田柄・片倉・松が谷・小平…普通科
（コース)併置
／野津田…福祉科及び体育科併置"
普通科,募集校延べ数,123,83,99,125,79,101,128,"田柄・片倉・松が谷・小平…普通科
（コース)併置
／野津田…福祉科及び体育科併置"
商業科,募集人員,43,9,34,109,9,100,152,五日市・・・普通科（コース）併置
商業科,募集校延べ数,10,9,9,10,9,10,10,五日市・・・普通科（コース）併置
"ビジネス
コミュニケーション科",募集人員,7,1,6,28,1,27,35,
"ビジネス
コミュニケーション科",募集校延べ数,2,1,2,2,1,2,2,
工業科,募集人員,137,16,121,380,16,364,517,
工業科,募集校延べ数,16,16,16,16,16,16,16,
科学技術科,募集人員,3,1,2,7,2,5,10,
科学技術科,募集校延べ数,2,1,2,2,2,2,2,
農業科,募集人員,13,4,9,31,5,26,44,
農業科,募集校延べ数,5,4,5,5,5,5,5,
家庭科,募集人員,10,3,7,8,3,5,18,農業・瑞穂農芸・・・農業科併置／忍岡・・・普通科（単位制）併置
家庭科,募集校延べ数,3,3,3,3,3,3,3,農業・瑞穂農芸・・・農業科併置／忍岡・・・普通科（単位制）併置
福祉科,募集人員,2,1,1,11,1,10,13,
福祉科,募集校延べ数,1,1,1,1,1,1,1,
体育科,募集人員,14,0,14,7,0,7,21,
体育科,募集校延べ数,1,0,1,1,0,1,1,
国際科,募集人員,8,0,8,2,0,2,10,
国際科,募集校延べ数,1,0,1,1,0,1,1,
併合科,募集人員,84,0,84,93,0,93,177,大島・三宅・八丈・・・普通科併置
併合科,募集校延べ数,3,0,3,3,0,3,3,大島・三宅・八丈・・・普通科併置
産業科,募集人員,6,2,4,12,2,10,18,
産業科,募集校延べ数,2,2,2,2,2,2,2,
専門学科計,募集人員,327,37,290,688,39,649,1015,
専門学科計,募集校延べ数,46,37,45,46,39,46,46,
総合学科,募集人員,40,17,23,68,20,48,108,
総合学科,募集校延べ数,10,10,9,10,10,10,10,
海外帰国生徒対象,募集人員,4,0,4,6,0,6,10,三田・日野台・・・普通科併置
海外帰国生徒対象,募集校延べ数,2,0,2,1,0,1,2,三田・日野台・・・普通科併置
計,募集人員,1047,186,861,1976,180,1796,3023,
計,募集校延べ数,181,130,155,182,128,158,186,募集校実数 171校
