,平成27年度第2学期（％）,平成27年度第3学期（％）,平成28年度第1学期（％）,平成28年度第2学期（％）,平成28年度第3学期（％）,平成29年度第1学期（％）
第1学年,35.2,25.6,,33.8,41.3,
第2学年,30.4,37.0,28.1,30.8,41.2,39.8
第3学年,25.0,,28.1,37.5,,51.9
注）第1学年の補欠募集は､第1学期を除く第2学期及び第3学期に実施,,,,,,
