,対回答者割合（%）
ジョブローテーションでどこに配属されるか分からないから,51
30代前半からの受験年齢は、年齢的に管理職への志向が弱いから,41
ジョブローテーションが4～5年間と長いから,37
受験対象年齢が子育てなどが忙しい年齢と重なるから,34
給与などの処遇面が、職務内容や職責の実態に見合わないから,29
ジョブローテーションで指導主事にならなければいけないから,24
Ｂ選考の方が、任用前研修期間が短いから,7
その他,5
,
,
,
,
,
,
,
