区分,項目,,３か年の目標／平成23年度入試,３か年の目標／平成24年度入試,３か年の目標／平成25年度入試
三田高校,合格実績,国公立大学（人）,15,20,25
三田高校,合格実績,早慶上理（人）,40,45,50
三田高校,合格実績,ＭＡＲＣＨ（人）,110,130,150
国際高校,合格実績,早慶上智（人）,85,85,90
国際高校,合格実績,MARCH（人）,90,90,90
国際高校,合格実績,国公立大学（人）,25,25,28
国際高校,合格実績,海外大学進学（人）,15,15,18
豊多摩高校,合格実績,国公立大学（人）,10,12,15
豊多摩高校,合格実績,難関私立大学（人）,5,7,10
豊多摩高校,合格実績,GMARCH（人）,35,40,45
豊多摩高校,合格実績,日東駒専（人）,45,55,65
竹早高校,合格実績,国公立大学（人）,22,20,25
竹早高校,合格実績,早・慶・上・理（人）,50,55,60
竹早高校,合格実績,MARCH（人）,125,130,140
北園高校,合格実績,国公立大学（人）,15,20,25
北園高校,合格実績,早・慶・上・理（人）,20,25,30
北園高校,合格実績,MARCH（人）,60,70,80
墨田川高校,合格実績,国公立大学（人）,19,24,29
墨田川高校,合格実績,早・慶・上・理（人）,15,20,25
墨田川高校,合格実績,GMARCH（人）,50,60,90
城東高校,合格実績,国公立大学（人）,30,30,30
城東高校,合格実績,早・慶・上・理（人）,15,20,30
城東高校,合格実績,GMARCH（人）,100,120,140
小松川高校,合格実績,国公立大学（人）,22以上,25以上,28以上
小松川高校,合格実績,早・慶・上・理（人）,15以上,15以上,15以上
小松川高校,合格実績,GMARCH（人）,70以上,80以上,85以上
武蔵野北高校,合格実績,国公立大学（人）,20,25,30
武蔵野北高校,合格実績,早・慶・上智（人）,20,25,30
武蔵野北高校,合格実績,MARCH（人）,120,144,150
小金井北高校,合格実績,国公立大学（人）,6,10,10
小金井北高校,合格実績,早・慶・上・理（人）,15,15,15
小金井北高校,合格実績,GMARCH（人）,75,78,80
江北高校,合格実績,国公立・早慶上智（人）,2以上,3以上,4以上
江北高校,合格実績,ＧＭＡＲＣＨ＋東京理科（人）,20以上,23以上,26以上
江北高校,合格実績,日東駒専（人）,65以上,70以上,75以上
江戸川高校,合格実績,国公立・難関私立（人）,3,5,10
江戸川高校,合格実績,ＧＭＡＲＣＨ（人）,20,25,30
江戸川高校,合格実績,大学進学率（％）,70,70,70
調布北高校,合格実績,国公立大学（人）,8,10,15
調布北高校,合格実績,早慶上理（人）,10,15,20
調布北高校,合格実績,ＭＡＲＣＨ（人）,80,100,120
日野台高校,合格実績,国公立大学（人）,15以上,18以上,20以上
日野台高校,合格実績,早・慶・上智（人）,6以上,8以上,10以上
日野台高校,合格実績,ＭＡＲＣＨ（人）,80以上,85以上,90以上
