点数,度数（名）,割合（％）,群（％）
0,20,27.0,
1,13,17.6,
2,12,16.2,
低群　0／1／2,,,60.8
3,10,13.5,
4,4,5.4,
5,3,4.1,
6,5,6.8,
7,3,4.1,
中位群　3／4／5／6／7　,,,33.8
8,2,2.7,
9,1,1.4,
10,1,1.4,
11,0,0.0,
12,0,0.0,
高群　8／9／10／11／12,,,5.4
計,74,100.0,100.0
