,小学校(％),中学校(％)
1単位時間,2.4,10.0
2単位時間,21.7,11.1
3単位時間,8.3,4.6
4単位時間,46.5,10.0
5単位時間,15.4,27.5
6単位時間,4.7,19.2
7単位時間,0.1,0.7
8単位時間,0.9,16.9
