区分,延設置校数,実設置校数,延学級数,総学校数,設置割合(%),,,,,,,,,,,,,,,
特別区,107,104,204,414,25.1,,,,,,,,,,,,,,,
多摩地区,80,71,124,213,33.3,,,,,,,,,,,,,,,
町村部,87,78,131,238,32.8,,,,,,,,,,,,,,,
合計,194,182,335,652,27.9,,,,,,,,,,,,,,,
