科名,,校数,延学校数,年度（平成）,募集人員(A)（男女問わず）,最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,成人特別措置応募人員((B)の内数)／男,成人特別措置応募人員((B)の内数)／女,成人特別措置応募人員((B)の内数)／計,最終応募倍率(B/A)
普通科合計,,19,21,29,990,204,120,324,5,3,8,0.33
普通科合計,,19,21,28,1230,252,134,386,3,1,4,0.31
専門学科,商業科,4,5,29,150,28,19,47,0,1,1,0.31
専門学科,商業科,4,5,28,210,35,22,57,1,0,1,0.27
専門学科,工業科,9,,29,390,141,37,178,0,0,0,0.46
専門学科,工業科,9,,28,450,137,54,191,0,0,0,0.42
専門学科,農業科,4,,29,120,52,24,76,1,0,1,0.63
専門学科,農業科,4,,28,120,50,35,85,1,0,1,0.71
専門学科,併合科,2,,29,60,21,7,28,0,0,0,0.47
専門学科,併合科,2,,28,60,17,9,26,0,0,0,0.43
専門学科,産業科,1,,29,60,17,8,25,0,0,0,0.42
専門学科,産業科,1,,28,60,22,6,28,0,0,0,0.47
学年制計,,39,42,29,1770,463,215,678,6,4,10,0.38
学年制計,,39,42,28,2130,513,260,773,5,1,6,0.36
単位制普通科（一橋・新宿山吹・浅草・六郷工科・荻窪・飛鳥・板橋有徳・八王子拓真・砂川）,,8,9,29,849,554,603,1157,,,,1.36
単位制普通科（一橋・新宿山吹・浅草・六郷工科・荻窪・飛鳥・板橋有徳・八王子拓真・砂川）,,8,9,28,849,575,506,1081,,,,1.27
単位制工業に関する学科（六郷工科）,,1,,29,30,5,1,6,,,,0.20
単位制工業に関する学科（六郷工科）,,1,,28,30,3,0,3,,,,0.10
単位制情報科（新宿山吹）,,0,1,29,46,51,18,69,,,,1.50
単位制情報科（新宿山吹）,,0,1,28,46,47,11,58,,,,1.26
単位制総合学科（チャレンジスクール）及び単位制普通科（チャレンジ枠）,,5,6,29,925,759,702,1461,,,,1.58
単位制総合学科（チャレンジスクール）及び単位制普通科（チャレンジ枠）,,5,6,28,925,673,681,1354,,,,1.46
単位制総合学科（青梅総合・東久留米総合）,,2,,29,150,38,22,60,,,,0.40
単位制総合学科（青梅総合・東久留米総合）,,2,,28,150,52,26,78,,,,0.52
単位制計,,16,19,29,2000,1407,1346,2753,,,,1.38
単位制計,,16,19,28,2000,1350,1224,2574,,,,1.29
定時制合計,,55,61,29,3770,1870,1561,3431,6,4,10,0.91
定時制合計,,55,61,28,4130,1863,1484,3347,5,1,6,0.81
注）単位制総合学科（チャレンジスクール）は、六本木高校、大江戸高校、世田谷泉高校、稔ヶ丘高校及び桐ヶ丘高校をいう。また、単位制普通科（チャレンジ枠）は、八王子拓真高校（チャレンジ枠）をいう。,,,,,,,,,,,,
注）一橋高校、新宿山吹高校、浅草高校、荻窪高校、八王子拓真高校、砂川高校、チャレンジスクール及びチャレンジ枠は、全日制の入学者選抜状況にも掲載している。,,,,,,,,,,,,
