区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
港,六本木,総合学科１～３部,１学年相当,140,126,155,281,2.01
港,六本木,総合学科１～３部,２学年相当以上,15,3,2,5,0.33
港,六本木,総合学科１～３部,計,155,129,157,286,1.85
江東,大江戸,総合学科１～３部,１学年相当,140,165,139,304,2.17
江東,大江戸,総合学科１～３部,２学年相当以上,15,5,1,6,0.40
江東,大江戸,総合学科１～３部,計,155,170,140,310,2.00
世田谷,世田谷泉,総合学科１～３部,１学年相当,170,126,134,260,1.53
世田谷,世田谷泉,総合学科１～３部,２学年相当以上,15,2,1,3,0.20
世田谷,世田谷泉,総合学科１～３部,計,185,128,135,263,1.42
中野,稔ヶ丘,総合学科１～３部,１学年相当,200,198,138,336,1.68
中野,稔ヶ丘,総合学科１～３部,２学年相当以上,15,3,2,5,0.33
中野,稔ヶ丘,総合学科１～３部,計,215,201,140,341,1.59
北,桐ヶ丘,総合学科１～３部,１学年相当,140,90,93,183,1.31
北,桐ヶ丘,総合学科１～３部,２学年相当以上,15,1,2,3,0.20
北,桐ヶ丘,総合学科１～３部,計,155,91,95,186,1.20
八王子,八王子拓真,普通科１・２部,１学年相当,60,44,36,80,1.33
八王子,八王子拓真,普通科１・２部,計,60,44,36,80,1.33
チャレンジスクール及びチャレンジ枠計,,,１学年相当計,850,749,695,1444,1.70
チャレンジスクール及びチャレンジ枠計,,,２学年相当以上計,75,14,8,22,0.29
チャレンジスクール及びチャレンジ枠計,,,計,925,763,703,1466,1.58
