点数,度数（名）,割合（％）,群（％）
0,95,3.4,
1,109,3.9,
2,244,8.6,
低群　0／1／2,,,15.9
3,340,12.0,
4,534,18.9,
5,521,18.4,
6,359,12.7,
7,255,9.0,
中位群　3／4／5／6／7　,,,71.1
8,181,6.4,
9,108,3.8,
10,35,1.2,
11,18,0.6,
12,25,0.9,
高群　8／9／10／11／12,,,13.0
計,2824,100.0,100.0
