,好き（％）,どちらかといえば好き（％）,どちらかといえばきらい（％）,きらい（％）,無回答（％）
全体,56.3,32.0,7.2,3.0,1.3
小１,68.3,20.4,4.4,5.1,1.5
小２,63.7,26.9,5.1,3.1,1.0
小３,58.7,30.4,7.0,2.4,1.1
小４,56.6,32.8,6.8,2.4,1.1
小５,54.2,35.1,7.9,2.2,0.6
小６,52.3,35.5,8.8,2.7,0.7
中１,51.9,34.5,9.3,3.0,1.2
中２,52.2,35.3,8.2,2.2,2.1
中３,57.0,32.6,6.3,1.9,1.9
高１,56.6,32.4,6.8,2.8,1.4
高２,52.6,34.3,7.9,3.5,1.5
高３,60.9,30.1,5.0,2.3,1.8
高４,55.0,31.7,10.0,3.3,0.0
