,,該当する（％）,該当しない（％）
資料の貸出に関する業務をパソコンを活用して行っている,合計,58.9,28.7
資料の貸出に関する業務をパソコンを活用して行っている,小学校,68.5,31.5
資料の貸出に関する業務をパソコンを活用して行っている,中学校,64.8,35.2
自校学校図書館内の資料を検索できるパソコンを設置している,合計,59.5,28.4
自校学校図書館内の資料を検索できるパソコンを設置している,小学校,69.1,30.9
自校学校図書館内の資料を検索できるパソコンを設置している,中学校,65.4,35.7
学校図書館内にインターネットに接続したパソコンがあり、児童が利用できる,合計,16.7,71.0
学校図書館内にインターネットに接続したパソコンがあり、児童が利用できる,小学校,18.7,81.3
学校図書館内にインターネットに接続したパソコンがあり、児童が利用できる,中学校,19.9,80.7
