区市町村名,学校名,募集人員（男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
新宿,新宿,284,386,345,731,2.57
台東,忍岡,124,47,88,135,1.09
墨田,墨田川,252,172,167,339,1.35
大田,美原,188,99,99,198,1.05
世田谷,芦花,220,140,254,394,1.79
北,飛鳥,170,57,176,233,1.37
板橋,板橋有徳,188,104,123,227,1.21
練馬,大泉桜,188,49,200,249,1.32
八王子,翔陽,188,103,114,217,1.15
国分寺,国分寺,252,239,219,458,1.82
武蔵村山,上水,188,80,187,267,1.42
単位制計,,2242,1476,1972,3448,1.54
