番号,回答内容,区市町村合計
1,子供のための集会行事（おはなし会、科学遊びの会、講演会など）,56
2,子供司書・読書リーダー・子供館長など体験支援,31
3,子供が生まれる保護者を対象としたサービス,17
4,乳幼児を対象としたサービス,56
5,青少年を対象としたサービス,49
6,外国語を母語とする子供、帰国児童・生徒を対象としたサービス,37
7,特別な支援を必要とする子供を対象としたサービス,38
8,実施していない,6
注）複数回答可,,
