,合計,小１,小２,小３,小４,小５,小６,中１,中２,中３,高１,高２,高３,高４
身近な人(家族・先生・友達)に本を読んでもらったことがある。（％）,35.2,79.2,79.2,57.6,48.9,45.0,43.0,39.7,34.3,40.8,40.2,32.7,40.2,29.7
身近な人に本を読んであげることがある。（％）,13.2,43.3,37.7,25.1,19.7,13.4,16.8,16.9,14.4,16.5,17.0,11.7,15.9,9.5
身近な人と一緒に図書館や書店に行くことがある。（％）,22.7,52.5,42.6,38.9,33.5,35.3,31.1,36.8,27.2,31.2,27.7,20.2,24.5,18.9
身近な人と本の話をすることがある。（％）,12.4,33.3,22.4,17.7,19.7,13.4,12.4,11.4,10.7,13.7,15.3,11.6,16.6,10.8
家の中に本がある。（％）,69.0,81.7,89.6,77.3,85.6,75.8,76.2,79.4,73.3,76.1,70.6,67.2,68.0,55.4
学級文庫を利用している。（％）,4.5,55.8,56.8,35.5,31.4,21.6,21.4,12.6,8.8,9.9,1.9,1.7,2.9,2.7
どれもあてはまらない。（％）,18.8,13.3,2.7,12.3,5.3,14.9,12.7,12.6,19.1,14.2,15.8,20.1,16.0,28.4
無回答（％）,5.8,2.5,2.2,2.0,0.5,1.1,2.7,2.7,2.1,4.6,7.0,6.2,8.8,4.1
注）複数回答可,,,,,,,,,,,,,,
