,,1.十分果たしている,2.ほぼ果たしている,3.あまり果たしているとはいえない,4.全く果たしていない,計
(1)学校の慣例慣行などにとらわれない広い視野をもつ教育管理職の育成,人数（人）,55,562,369,17,1003
(1)学校の慣例慣行などにとらわれない広い視野をもつ教育管理職の育成,構成比（%）,5.5,56.0,36.8,1.7,100.0
(2)指導主事の職務遂行において学校の実情を踏まえた経営指導、指導行政の実現,人数（人）,18,400,526,44,988
(2)指導主事の職務遂行において学校の実情を踏まえた経営指導、指導行政の実現,構成比（%）,1.8,40.5,53.2,4.5,100.0
(3)学校現場と教育委員会など教育行政組織のより一層の相互理解,人数（人）,65,509,394,19,987
(3)学校現場と教育委員会など教育行政組織のより一層の相互理解,構成比（%）,6.6,51.6,39.9,1.9,100.0
