番号,回答内容,区市町村合計
1,外国語で書かれた子供向け図書の収集,40
2,外国語で書かれた子供向け新聞・雑誌の収集,3
3,外国語によるおはなし会の実施,13
4,子供たちが日本語を学ぶための資料の収集,4
5,その他,1
注）複数回答可,,
