進路先,進学者等人数(人),進学率・就職率(%),中退者数(人),中退率(%),,,,,,,,,,,,,,,
高等学校,122,73.0,24,19.7,,,,,,,,,,,,,,,
他種別の養護学校,30,18.0,0,0.0,,,,,,,,,,,,,,,
各種学校・専門学校,6,3.6,1,16.7,,,,,,,,,,,,,,,
就職,3,1.8,―,―,,,,,,,,,,,,,,,
その他,6,3.6,―,―,,,,,,,,,,,,,,,
合計,167,―,25,―,,,,,,,,,,,,,,,
