,はい（％）,いいえ（％）,無回答（％）
全体,50.1,47.2,2.6
小１,76.0,20.8,3.2
小２,78.5,19.2,2.3
小３,74.3,23.6,2.1
小４,71.5,26.5,2.0
小５,67.9,30.3,1.9
小６,65.0,33.4,1.6
中１,58.4,40.1,1.5
中２,49.7,48.5,1.8
中３,43.0,54.3,2.3
高１,39.9,57.4,2.6
高２,34.3,62.4,3.2
高３,39.0,57.6,3.4
高４,20.5,78.4,1.1
