区市町村名,学校名,科名,対象,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
目黒,国際,国際,一般生徒,98,53,208,261,2.66
目黒,国際,国際,日本人学校の海外帰国生徒,15,9,29,38,2.53
目黒,国際,国際,外国の学校の海外帰国生徒,25,24,32,56,2.24
目黒,国際,計,,138,86,269,355,2.57
大島,大島海洋国際,海洋国際,,56,67,8,75,1.34
国際計,,,,194,153,277,430,2.22
