,読んだ（％）,読んでいない（％）,無回答（％）
全体,36.0,61.6,1.9
小４,48.4,49.3,2.3
小５,47.6,50.5,1.9
小６,50.9,47.3,1.8
中１,35.4,62.8,1.8
中２,31.4,66.8,1.8
中３,33.5,64.7,1.8
高１,31.8,65.9,2.3
高２,31.1,66.2,2.7
高３,41.6,55.6,2.8
高４,40.0,55.8,4.2
