,平成28年度入学者選抜／再提出人員（人）,平成28年度入学者選抜／同一ｸﾞﾙｰﾌﾟ 内からの再提出人員（人）,平成28年度入学者選抜／再提出人員に対する割合（％）,平成27年度入学者選抜／再提出人員（人）,平成27年度入学者選抜／同一ｸﾞﾙｰﾌﾟ 内からの再提出人員（人）,平成27年度入学者選抜／再提出人員に対する割合（％）,平成26年度入学者選抜／再提出人員（人）,平成26年度入学者選抜／同一ｸﾞﾙｰﾌﾟ 内からの再提出人員（人）,平成26年度入学者選抜／再提出人員に対する割合（％）,平成25年度入学者選抜(参考)／再提出人員（人）,平成25年度入学者選抜(参考)／同一ｸﾞﾙｰﾌﾟ 内からの再提出人員（人）,平成25年度入学者選抜(参考)／再提出人員に対する割合（％）
進学指導重点校グループ,161,35,21.7,194,26,13.4,154,47,30.5,158,54,34.2
進学重視型単位制高校グループ,90,1,1.1,91,1,1.1,88,3,3.4,71,3,4.2
併設型高校(中高一貫教育校)グループ,84,4,4.8,77,5,6.5,78,11,14.1,77,9,0.1
グループ全体,335,40,11.9,362,32,8.8,320,61,19.1,306,66,21.6
,,,,,,,,,,,,
