,対回答者割合（%）
学校訪問,50
研修会・主任会等の企画・運営,46
教育課程の実施状況の点検・評価,41
教育施策の立案,38
校内研究会等の指導・助言、指導資料作成,34
議会対応（答弁書の作成・資料収集）,23
学校事故対応、マスコミ対応,17
国・都などの調査等対応、連絡会出席,7
校長会・副校長会の企画・運営,5
学校教育等に関する広報活動,5
都民、地域団体・関係団体の対応,3
教育相談事業、就学指導等業務,3
教育委員会定例会などにおける報告業務,2
教科書採択に関する調査研究・資料作成,1
その他,7
,
