科名,,校数,併設校を含めた延学校数,年度（平成）,募集人員（男女問わず）(A),応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,成人特別措置応募人員((B)の内数)／男,成人特別措置応募人員((B)の内数)／女,成人特別措置応募人員((B)の内数)／計,取下げ人員(C)／男,取下げ人員(C)／女,取下げ人員(C)／計,成人特別措置取下げ人員((C)の内数）／男,成人特別措置取下げ人員((C)の内数）／女,成人特別措置取下げ人員((C)の内数）／計,再提出人員(D)／男,再提出人員(D)／女,再提出人員(D)／計,成人特別措置再提出人員((D)の内数）／男,成人特別措置再提出人員((D)の内数）／女,成人特別措置再提出人員((D)の内数）／計,最終応募人員(E)／男,最終応募人員(E)／女,最終応募人員(E)／計,成人特別措置最終応募人員((E)の内数）／男,成人特別措置最終応募人員((E)の内数）／女,成人特別措置最終応募人員((E)の内数）／計,最終応募倍率(E/A)
普通科,区部計,13,14,29,433,147,59,206,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,147,59,206,1,0,1,0.48
普通科,区部計,13,14,28,526,127,62,189,0,1,1,1,1,2,0,0,0,1,2,3,0,0,0,127,63,190,0,1,1,0.36
普通科,多摩部計,4,5,29,183,96,43,139,0,0,0,3,0,3,0,0,0,2,0,2,0,0,0,95,43,138,0,0,0,0.75
普通科,多摩部計,4,5,28,282,56,25,81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,56,24,80,0,0,0,0.28
普通科,島しょ計,2,,29,59,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0.07
普通科,島しょ計,2,,28,56,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.02
普通科,普通科合計,19,21,29,675,247,102,349,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,246,102,348,1,0,1,0.52
普通科,普通科合計,19,21,28,864,184,87,271,0,1,1,1,2,3,0,0,0,1,2,3,0,0,0,184,87,271,0,1,1,0.31
"専
門
学
科",商業科,4,5,29,104,24,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,35,0,0,0,0.34
"専
門
学
科",商業科,4,5,28,156,36,22,58,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,36,22,58,1,1,2,0.37
"専
門
学
科",工業科,9,,29,214,61,9,70,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,60,9,69,0,0,0,0.32
"専
門
学
科",工業科,9,,28,267,65,8,73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,8,73,1,0,1,0.27
"専
門
学
科",農業科,3,,29,48,19,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,28,0,0,0,0.58
"専
門
学
科",農業科,3,,28,42,7,7,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,0,1,1,0.33
"専
門
学
科",併合科,2,,29,32,14,3,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,3,18,0,0,0,0.56
"専
門
学
科",併合科,2,,28,34,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17,0,0,0,0.50
"専
門
学
科",産業科,1,,29,36,17,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,28,0,0,0,0.78
"専
門
学
科",産業科,1,,28,32,17,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,27,0,0,0,0.84
"専
門
学
科",専門学科合計,19,20,29,434,135,43,178,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,135,43,178,0,0,0,0.41
"専
門
学
科",専門学科合計,19,20,28,531,136,53,189,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,136,53,189,2,2,4,0.36
学年制計,,38,41,29,1109,382,145,527,1,0,1,4,0,4,0,0,0,3,0,3,0,0,0,381,145,526,1,0,1,0.47
学年制計,,38,41,28,1395,320,140,460,2,3,5,1,2,3,0,0,0,1,2,3,0,0,0,320,140,460,2,3,5,0.33
単位制普通科（六郷工科・飛鳥・板橋有徳高校）,,2,3,29,68,28,12,40,,,,0,0,0,,,,0,0,0,,,,28,12,40,,,,0.59
単位制普通科（六郷工科・飛鳥・板橋有徳高校）,,2,3,28,63,19,9,28,,,,0,0,0,,,,0,0,0,,,,19,9,28,,,,0.44
単位制工業科（六郷工科高校）,,1,,29,24,5,0,5,,,,0,0,0,,,,0,0,0,,,,5,0,5,,,,0.21
単位制工業科（六郷工科高校）,,1,,28,28,3,0,3,,,,0,0,0,,,,0,0,0,,,,3,0,3,,,,0.11
単位制総合学科（青梅総合・東久留米総合高校）,,2,,29,92,50,25,75,,,,0,0,0,,,,1,0,1,,,,51,25,76,,,,0.83
単位制総合学科（青梅総合・東久留米総合高校）,,2,,28,73,41,13,54,,,,0,0,0,,,,0,0,0,,,,41,13,54,,,,0.74
単位制計,,5,6,29,184,83,37,120,,,,0,0,0,,,,1,0,1,,,,84,37,121,,,,0.66
単位制計,,5,6,28,164,63,22,85,,,,0,0,0,,,,0,0,0,,,,63,22,85,,,,0.52
定時制計,,43,47,29,1293,465,182,647,1,0,1,4,0,4,0,0,0,4,0,4,0,0,0,465,182,647,1,0,1,0.50
定時制計,,43,47,28,1559,383,162,545,2,3,5,1,2,3,0,0,0,1,2,3,0,0,0,383,162,545,2,3,5,0.35
