区市町村名,学校名,科名,募集人員（男女問わず）(A),応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,応募倍率(B/A)
板橋,北豊島工業,総合技術,12,24,2,26,2.17
練馬,練馬工業,ｷｬﾘｱ技術※,52,61,9,70,1.35
足立,足立工業,総合技術,2,5,1,6,3.00
西東京,田無工業,機械,1,2,0,2,2.00
工業計,,,67,92,12,104,1.55
注）※は分割後期募集実施校,,,,,,,
