,読みたい本がなかった（％）,読む時間がなかった（％）,読むことに興味がない（％）,文章、文字を見るのが嫌い（％）,どれもあてはまらない（％）
小１,29.4,22.2,27.5,12.4,14.4
小２,39.0,35.7,29.9,13.0,11.0
小３,36.1,25.4,36.7,20.1,11.8
小４,32.2,25.1,41.2,26.3,12.2
小５,37.5,32.3,36.0,23.9,11.2
小６,43.8,30.9,37.9,23.2,7.5
中１,41.4,36.0,46.0,28.2,8.2
中２,46.8,35.9,45.3,24.6,5.9
中３,42.1,45.5,37.9,18.7,5.9
高１,43.1,44.2,31.6,17.2,6.6
高２,36.3,43.0,33.8,14.7,8.4
高３,29.3,54.8,25.7,10.9,7.8
注）複数回答可,,,,,
