大問,小問,配点（点）,（注１）,小問正答率（％）,大問正答率（％）
1,〔問 1〕,5,,54.8,
1,※〔問 2〕,5,,42.2,
1,※〔問 3〕,5,,81.0,
1,〔問 1〕／※〔問 2〕／※〔問 3〕,15,,,59.3
2,※〔問 1〕,5,,68.8,
2,※〔問 2〕,5,,51.2,
2,※〔問 3〕,5,,57.0,
2,※〔問 1〕／※〔問 2〕／※〔問 3〕,15,,,59.0
3,※〔問 1〕,5,,78.9,
3,※〔問 2〕,5,,35.5,
3,〔問 3〕,5,☆,68.3,
3,※〔問 1〕／※〔問 2〕／〔問 3〕,15,☆,,60.8
4,※〔問 1〕,5,,72.1,
4,※〔問 2〕,5,,49.0,
4,※〔問 3〕,5,,50.2,
4,※〔問 4〕,5,,42.2,
4,※〔問 1〕／※〔問 2〕／※〔問 3〕／※〔問 4〕,20,,,53.4
5,※〔問 1〕,5,,39.8,
5,※〔問 2〕,5,,58.0,
5,※〔問 3〕,5,,61.8,
5,※〔問 4〕,5,,52.0,
5,※〔問 1〕／※〔問 2〕／※〔問 3〕／※〔問 4〕,20,,,52.9
6,※〔問 1〕,5,,42.0,
6,※〔問 2〕,5,,72.5,
6,〔問 3〕,5,☆,45.9,
6,※〔問 1〕／※〔問 2〕／〔問 3〕,15,☆,,53.5
（注１）☆は部分正答も含めた割合,,,,,
（注２）※は記号選択式の問題,,,,,
