区市町村名,学校名,科名・部,募集区分,"募集人員
(男女問わず）(A)","最終応募人員
(B)／男","最終応募人員
(B)／女","最終応募人員
(B)／計","最終応募倍率
(B/A)"
港,六本木,総合学科１～３部,１学年相当,140,124,155,279,1.99
港,六本木,総合学科１～３部,２学年相当以上,15,3,2,5,0.33
港,六本木,総合学科１～３部,計,155,127,157,284,1.83
江東,大江戸,総合学科１～３部,１学年相当,140,163,139,302,2.16
江東,大江戸,総合学科１～３部,２学年相当以上,15,5,1,6,0.40
江東,大江戸,総合学科１～３部,計,155,168,140,308,1.99
世田谷,世田谷泉,総合学科１～３部,１学年相当,170,125,134,259,1.52
世田谷,世田谷泉,総合学科１～３部,２学年相当以上,15,2,1,3,0.20
世田谷,世田谷泉,総合学科１～３部,計,185,127,135,262,1.42
中野,稔ヶ丘,総合学科１～３部,１学年相当,200,196,137,333,1.67
中野,稔ヶ丘,総合学科１～３部,２学年相当以上,15,3,2,5,0.33
中野,稔ヶ丘,総合学科１～３部,計,215,199,139,338,1.57
北,桐ヶ丘,総合学科１～３部,１学年相当,140,93,93,186,1.33
北,桐ヶ丘,総合学科１～３部,２学年相当以上,15,1,2,3,0.20
北,桐ヶ丘,総合学科１～３部,計,155,94,95,189,1.22
八王子,八王子拓真,"普通科
１・２部",１学年相当,60,44,36,80,1.33
八王子,八王子拓真,"普通科
１・２部",計,60,44,36,80,1.33
チャレンジスクール及びチャレンジ枠計,,,１学年相当計,850,745,694,1439,1.69
チャレンジスクール及びチャレンジ枠計,,,２学年相当以上計,75,14,8,22,0.29
チャレンジスクール及びチャレンジ枠計,,,計,925,759,702,1461,1.58
