,好き（％）,どちらかといえば好き（％）,どちらかといえばきらい（％）,きらい（％）,無回答（％）
全体,27.2,47.7,17.7,5.5,1.9
小１,48.3,31.7,10.0,6.7,3.6
小２,38.7,41.1,13.0,5.6,1.1
小３,32.2,48.0,13.0,5.3,1.8
小４,27.4,48.0,18.3,4.8,1.3
小５,22.7,48.5,21.6,5.8,1.5
小６,20.4,48.7,24.0,5.7,1.2
中１,20.1,46.6,25.3,6.9,1.4
中２,19.5,48.1,23.3,7.3,1.7
中３,22.6,49.5,19.0,6.6,2.3
高１,32.5,47.9,13.0,4.5,2.2
高２,29.6,48.1,15.4,4.9,2.1
高３,38.0,44.5,12.0,3.6,2.1
高４,25.6,51.3,10.3,10.3,3.0
