教科（右）／項目（下）,国語,数学,英語,社会,理科
教科別受検者数（人）,40198,40199,39974,44481,44481
教科別実施校数（校）,153,153,152,167,167
教科別平均点（点）,69.5,56.3,57.8,58.6,55.9
教科別平均点(平成28年度)（点）,73.9,60.9,57.4,59.3,50.6
