区分,,平成19年度（20年度異動）,平成20年度（21年度異動）,平成21年度（22年度異動）
応募者数（人）,,126,116,133
配置数（人）,進学指導重点校・進学指導特別推進校からの異動者数,6,2,4
配置数（人）,進学指導推進校等進学関係校からの異動者数,21,8,13
配置数（人）,その他,19,23,20
配置数（人）,計,46,33,37
