学科,,,第１学年,第２学年,第３学年,第４学年,計,備考
普通科,,募集人員,249,362,400,9,1020,
普通科,,募集校延べ数,18,21,20,1,21,足立商業科併置
専門学科,商業科,募集人員,34,78,64,0,176,
専門学科,商業科,募集校延べ数,5,4,5,0,5,葛飾商業普通科併置
専門学科,工業科,募集人員,137,171,213,0,521,
専門学科,工業科,募集校延べ数,8,9,9,0,9,
専門学科,農業科,募集人員,28,32,40,0,100,
専門学科,農業科,募集校延べ数,3,4,4,0,4,農業普通科併置
専門学科,併合科,募集人員,20,11,29,0,60,
専門学科,併合科,募集校延べ数,2,2,2,0,2,
専門学科,産業科,募集人員,4,22,20,0,46,
専門学科,産業科,募集校延べ数,1,1,1,0,1,
専門学科,専門学科計,募集人員,223,314,366,0,903,
専門学科,専門学科計,募集校延べ数,19,20,21,0,21,
学年制計,,募集人員,472,676,766,9,1923,
学年制計,,募集校延べ数,37,41,41,1,42,募集校実数39校
