点数,度数（名）,割合（％）,群（％）
0,13,8.8,
1,21,14.3,
2,26,17.7,
低群　0／1／2,,,40.8
3,27,18.4,
4,15,10.2,
5,23,15.6,
6,10,6.8,
7,6,4.1,
中位群　3／4／5／6／7　,,,55.1
8,1,0.7,
9,1,0.7,
10,3,2.0,
11,0,0.0,
12,1,0.7,
高群　8／9／10／11／12,,,4.1
計,147,100.0,100.0
