,そう思う。（％）,どちらかと言えばそう思う。（％）,どちらかと言えばそう思わない。（％）,そう思わない。（％）
比率が７：３だった学校,34.7,58.3,4.2,2.8
比率が６：４だった学校,24.5,63.3,12.2,0.0
比率が５：５だった学校,6.3,68.8,18.8,6.3
注）全日制148校､定時制1校,,,,
