学校名,所在地,緯度,経度,座標系,電話
白鴎高等学校附属中学校,111-0041台東区元浅草3-12-12,35.7071,139.787598,JGD2011,03(5830)1731
両国高等学校附属中学校,130-0022墨田区江東橋1-7-14,35.694637,139.810318,JGD2011,03(3631)1878
富士高等学校附属中学校,164-0013中野区弥生町5-21-1,35.689938,139.66774,JGD2011,03(3382)0601
大泉高等学校附属中学校,178-0063練馬区東大泉5-3-1,35.745583,139.593063,JGD2011,03(3924)0318
武蔵高等学校附属中学校,180-0022武蔵野市境4-13-28,35.708092,139.538818,JGD2011,0422(51)4554
