,全日制課程／男,全日制課程／女,全日制課程／計,定時制課程／男,定時制課程／女,定時制課程／計,定時制課程単位制／男,定時制課程単位制／女,定時制課程単位制／計
ルビのみ（人）,2,8,10,12,7,19,4,2,6
ルビ及び辞書持込み（人）,10,31,41,18,16,34,7,3,10
計（人）,12,39,51,30,23,53,11,5,16
