支出月日,支出者,支出件名,支出金額（円）
6月1日,都立板橋有徳高等学校長,来客用茶葉購入,276
6月1日,都立若葉総合高等学校長,来客用茶葉購入,400
6月2日,都立青山高等学校長,来客用茶葉購入,408
6月2日,都立石神井高等学校長,来客用茶葉購入,907
6月2日,都立浅草高等学校長,来客用茶葉購入,391
6月2日,都立城東高等学校長,来客用茶葉購入,4320
6月2日,都立山崎高等学校長,来客用茶葉購入,1127
6月2日,都立南花畑特別支援学校長,来客用茶葉購入,1788
6月5日,都立多摩桜の丘学園校長,来客用茶葉購入,2782
6月5日,都立青峰学園校長,来客用茶葉購入,4968
6月6日,都立世田谷総合高等学校長,来客用茶葉購入,2970
6月6日,都立小平高等学校長,来客用茶葉購入,1944
6月7日,都立大田桜台高等学校長,来客用茶葉購入,573
6月7日,都立広尾高等学校長,来客用茶葉購入,1680
6月7日,都立港特別支援学校長,来客用茶葉購入,408
6月8日,都立忍岡高等学校長,来客用茶葉購入,300
6月8日,都立武蔵野北高等学校長,来客用茶葉購入,864
6月8日,都立永福学園校長,来客用茶葉購入,2196
6月9日,都立蔵前工業高等学校長,来客用茶葉購入,2100
6月9日,都立三宅高等学校長,来客用茶葉購入,1650
6月9日,都立文京盲学校長,来客用茶葉購入,199
6月9日,都立中央ろう学校長,来客用茶葉購入,170
6月12日,都立田園調布高等学校長,来客用茶葉購入,6480
6月12日,都立調布南高等学校長,来客用茶葉購入,1680
6月12日,都立三宅高等学校長,来客用茶葉購入,1050
6月12日,都立江東特別支援学校長,来客用茶葉購入,403
6月14日,都立忍岡高等学校長,来客用茶葉購入,300
6月14日,都立足立高等学校長,来客用茶葉購入,1745
6月14日,都立農産高等学校長,来客用茶葉購入,586
6月14日,都立狛江高等学校長,来客用茶葉購入,298
6月15日,都立駒場高等学校長,来客用茶葉購入,630
6月15日,都立世田谷総合高等学校長,来客用茶葉購入,375
6月15日,都立晴海総合高等学校長,来客用茶葉購入,1080
6月15日,都立拝島高等学校長,来客用茶葉購入,2592
6月15日,都立多摩高等学校長,来客用茶葉購入,1872
6月15日,都立青梅総合高等学校長,来客用茶葉購入,1488
6月15日,都立府中西高等学校長,来客用茶葉購入,474
6月15日,都立南多摩中等教育学校長,来客用茶葉購入,906
6月16日,都立江東商業高等学校長,来客用茶葉購入,793
6月16日,都立町田高等学校長,来客用茶葉購入,835
6月16日,都立昭和高等学校長,来客用茶葉購入,5044
6月16日,城東特別支援学校長,来客用茶葉購入,4636
6月19日,都立日比谷高等学校長,来客用茶葉購入,2462
6月19日,都立鷺宮高等学校長,来客用茶葉購入,3360
6月19日,都立板橋高等学校長,来客用茶葉購入,414
6月19日,都立東久留米総合高等学校長,来客用茶葉購入,2073
6月19日,都立武蔵台学園校長,来客用茶葉購入,1944
6月19日,都立小金井北高等学校長,来客用茶葉購入,298
6月20日,都立飛鳥高等学校長,来客用茶葉購入,842
6月21日,都立新宿山吹高等学校長,来客用茶葉購入,1995
6月21日,都立荻窪高等学校長,来客用茶葉購入,1920
6月21日,都立調布北高等学校長,来客用茶葉購入,300
6月22日,都立広尾高等学校長,来客用茶葉購入,1680
6月22日,都立板橋有徳高等学校長,来客用茶葉購入,348
6月22日,都立竹台高等学校長,来客用茶葉購入,1132
6月22日,都立松が谷高等学校長,来客用茶葉購入,343
6月22日,都立武蔵高等学校長,来客用茶葉購入,1600
6月22日,都立武蔵野北高等学校長,来客用茶葉購入,479
6月22日,都立小平南高等学校長,来客用茶葉購入,270
6月23日,都立三田高等学校長,来客用茶葉購入,576
6月23日,都立駒場高等学校長,来客用茶葉購入,420
6月23日,都立練馬高等学校長,来客用茶葉購入,205
6月23日,都立農芸高等学校長,来客用茶葉購入,1205
6月23日,都立大山高等学校長,来客用茶葉購入,1680
6月23日,都立橘高等学校長,来客用茶葉購入,853
6月23日,都立立川国際中等教育学校長,来客用茶葉購入,752
6月23日,都立しいの木特別支援学校長,来客用茶葉購入,2280
6月23日,都立武蔵台学園校長,来客用茶葉購入,642
6月26日,都立千歳丘高等学校長,来客用茶葉購入,1262
6月26日,都立飛鳥高等学校長,来客用茶葉購入,4899
6月26日,都立久留米西高等学校長,来客用茶葉購入,3929
6月26日,都立桜修館中等教育学校長,来客用茶葉購入,128
6月26日,都立小平特別支援学校長,来客用茶葉購入,129
6月27日,都立稔ヶ丘高等学校長,来客用茶葉購入,822
6月28日,都立練馬工業高等学校長,来客用茶葉購入,753
6月28日,都立竹台高等学校長,来客用茶葉購入,2480
6月28日,都立橘高等学校長,来客用茶葉購入,760
6月29日,都立調布北高等学校長,来客用茶葉購入,252
6月30日,都立福生高等学校長,来客用茶葉購入,2488
6月分計,,79件,113663
