区市町村名,学校名,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
新宿,新宿,284,373,341,714,2.51
台東,忍岡,124,47,87,134,1.08
墨田,墨田川,252,172,167,339,1.35
大田,美原,188,99,99,198,1.05
世田谷,芦花,220,139,253,392,1.78
北,飛鳥,170,57,175,232,1.36
板橋,板橋有徳,188,103,121,224,1.19
練馬,大泉桜,188,49,200,249,1.32
八王子,翔陽,188,103,114,217,1.15
国分寺,国分寺,252,233,219,452,1.79
武蔵村山,上水,188,79,187,266,1.41
単位制計,,2242,1454,1963,3417,1.52
