区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員（２月８日）（B）／男,最終応募人員（２月８日）（B）／男／内成人,最終応募人員（２月８日）（B）／女,最終応募人員（２月８日）（B）／女／内成人,最終応募人員（２月８日）（B）／計,最終応募人員（２月８日）（B）／計／内成人,最終応募倍率(B/A)
文京,工芸,ﾏｼﾝｸﾗﾌﾄ,30,12,0,3,0,15,0,0.50
文京,工芸,ｱｰﾄｸﾗﾌﾄ,30,9,0,13,0,22,0,0.73
文京,工芸,ｲﾝﾃﾘｱ,30,10,0,4,0,14,0,0.47
文京,工芸,ｸﾞﾗﾌｨｯｸｱｰﾂ,30,11,0,13,0,24,0,0.80
文京,工芸,計,120,42,0,33,0,75,0,0.63
台東,蔵前工業,建築工学,30,7,0,1,0,8,0,0.27
江東,墨田工業,総合技術,30,20,0,0,0,20,0,0.67
世田谷,総合工科,総合技術,30,4,0,1,0,5,0,0.17
中野,中野工業,総合技術,30,8,0,1,0,9,0,0.30
荒川,荒川工業,電気・電子,30,10,0,0,0,10,0,0.33
板橋,北豊島工業,機械,30,10,0,0,0,10,0,0.33
葛飾,本所工業,総合技術,30,10,0,0,0,10,0,0.33
区部計,,,330,111,0,36,0,147,0,0.45
小金井,小金井工業,機械,30,21,0,1,0,22,0,0.73
小金井,小金井工業,電気・電子,30,9,0,0,0,9,0,0.30
小金井,小金井工業,計,60,30,0,1,0,31,0,0.52
多摩部計,,,60,30,0,1,0,31,0,0.52
工業科計,,,390,141,0,37,0,178,0,0.46
