採用年度,一次受験者,名簿登載者,採用者,総採用者,,,,,,,,,,,,,,,,,,,,,,,,,
12/免許保有者(人),275,47,68,,,,,,,,,,,,,,,,,,,,,,,,,,
12/総数(人),523,81,112,168,,,,,,,,,,,,,,,,,,,,,,,,,
12/免許保有率(%),52.6,58.0,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,
13/免許保有者(人),314,33,55,,,,,,,,,,,,,,,,,,,,,,,,,,
13/総数(人),527,54,88,181,,,,,,,,,,,,,,,,,,,,,,,,,
13/免許保有率(%),59.6,61.1,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14/免許保有者(人),239,25,56,,,,,,,,,,,,,,,,,,,,,,,,,,
14/総数(人),447,42,89,175,,,,,,,,,,,,,,,,,,,,,,,,,
14/免許保有率(%),53.5,59.5,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,
