文書決裁における校内業務把握件数,4/15-7/11,校務,生指,学年,授業,学級,部活,育成
経験多,4/15-7/11件数,140,32,86,101,17,15,235
経験多,4/15-7/11/１人平均,28,6.4,17.2,20.2,3.4,3,47
経験多,4/15-7/11個人内割合（%）,22,5,14,16,3,2,38
経験少,4/15-7/11件数,87,29,31,281,103,52,29
経験少,4/15-7/11/１人平均,9.7,3.2,3.4,31.2,11.4,5.8,3.2
経験少,4/15-7/11個人内割合（%）,14,5,5,46,17,8,5
経験少,4/15-7/11若手の担う割合（%）,32,42,26,72,86,72,10
経験多,7/12-件数,44,4,20,52,6,6,145
経験多,7/12-１人平均,8.8,0.8,4,10.4,1.2,1.2,29
経験多,7/12-個人内割合（%）,16,1,7,19,2,2,52
経験少,7/12-件数,26,8,27,96,29,26,15
経験少,7/12-１人平均,2.9,0.9,3,10.7,3.2,2.9,1.7
経験少,7/12-個人内割合（%）,11,4,12,42,13,11,7
経験少,7/12-若手の担う割合（%）,35,57,54,61,83,81,9
