,一人志向型,かかわり志向型,N（人）,,,,,,,
中３,61.5,38.5,130,,,,,,,
中２,67.1,32.9,131,,,,,,,
中１,52.4,47.6,126,,,,,,,
小６,51.3,48.7,158,,,,,,,
小５,52.3,47.7,151,,,,,,,
合計,56.6,43.4,696,,,,,,,
