学科,,,第２学年,第３学年,第４学年,計,備考
普通科,,募集人員,289,376,415,1080,
普通科,,募集校延べ数,19,20,21,21,足立商業科併置
専門学科,商業科,募集人員,40,82,65,187,
専門学科,商業科,募集校延べ数,5,5,5,5,葛飾商業普通科併置
専門学科,工業科,募集人員,148,177,219,544,
専門学科,工業科,募集校延べ数,9,9,9,9,
専門学科,農業科,募集人員,28,36,40,104,
専門学科,農業科,募集校延べ数,3,4,4,4,農業普通科併置
専門学科,併合科,募集人員,21,10,30,61,
専門学科,併合科,募集校延べ数,2,2,2,2,
専門学科,産業科,募集人員,4,23,26,53,
専門学科,産業科,募集校延べ数,1,1,1,1,
専門学科,専門学科計,募集人員,241,328,380,949,
専門学科,専門学科計,募集校延べ数,20,21,21,21,
学年制計,,募集人員,530,704,795,2029,
学年制計,,募集校延べ数,39,41,42,42,募集校実数39校
