,平成16年度（実績）,平成21年度（実績）,平成27年度（推計）,平成32年度（推計）,,
小学校(人),"3,152","4,472","5,369","5,618",,
中学校(人),"1,703","2,668","3,213","3,324",,
計(人),"4,855","7,140","8,582","8,942",,
