,,該当する（％）,該当しない（％）
読み聞かせ、ブックトーク等のノウハウ,合計,62.6,37.4
読み聞かせ、ブックトーク等のノウハウ,小学校,70.4,29.6
読み聞かせ、ブックトーク等のノウハウ,中学校,53.5,46.5
読み聞かせ、ブックトーク等のノウハウ,高校,47.4,52.6
学校図書館の整備,合計,73.7,26.3
学校図書館の整備,小学校,75.3,24.7
学校図書館の整備,中学校,75.3,24.7
学校図書館の整備,高校,62.5,37.5
公立図書館の活用,合計,61.7,38.3
公立図書館の活用,小学校,63.3,36.7
公立図書館の活用,中学校,63.8,36.2
公立図書館の活用,高校,48.8,51.2
