区分,平成21年度／現役（人）,平成21年度／合計（人）,平成22年度／現役（人）,平成22年度／合計（人）
三田高校,0,0,0,1
国際高校,2,3,1,1
豊多摩高校,0,0,0,0
竹早高校,0,1,1,1
北園高校,0,0,0,1
墨田川高校,0,0,0,0
城東高校,0,0,0,1
小松川高校,2,3,0,1
武蔵野北高校,1,1,1,2
小金井北高校,0,0,0,0
江北高校,0,0,0,0
江戸川高校,0,0,0,0
調布北高校,0,0,0,0
日野台高校,0,0,0,0
14校計,5,8,3,8
