区市町村名,学校名,科名（分野）,募集人員（男女問わず）(A),最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)
墨田,橘,産業,147,89,118,207,89,117,206,1.40
八王子,八王子桑志,ﾃﾞｻﾞｲﾝ分野,49,14,69,83,14,67,81,1.65
八王子,八王子桑志,ｸﾗﾌﾄ分野,25,31,10,41,29,10,39,1.56
八王子,八王子桑志,ｼｽﾃﾑ情報分野,25,47,7,54,46,7,53,2.12
八王子,八王子桑志,ﾋﾞｼﾞﾈｽ情報分野,49,31,30,61,31,30,61,1.24
八王子,八王子桑志,計,148,123,116,239,120,114,234,1.58
産業科計,,,295,212,234,446,209,231,440,1.49
