,食べる,食べない,N（人）,,,,,,,
中３,80.3,19.7,254,,,,,,,
中２,74.2,25.8,193,,,,,,,
中１,72.9,27.1,120,,,,,,,
小６,65.4,34.9,65,,,,,,,
小５,72.4,27.6,58,,,,,,,
合計,75.3,24.7,690,,,,,,,
