,読んだ（％）,読んでいない（％）,無回答（％）
全体,32.5,66.0,1.6
小１,16.3,81.7,2.0
小２,14.4,83.6,2.0
小３,15.8,82.1,2.2
小４,25.3,73.9,0.8
小５,26.5,72.8,0.7
小６,32.8,66.2,1.0
中１,28.7,70.2,1.6
中２,32.1,66.3,1.6
中３,35.9,62.4,1.8
高１,41.0,57.5,1.5
高２,41.3,57.0,1.7
高３,42.7,55.3,2.0
高４,64.2,35.8,0.0
